icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
89902f,EVA032  ,Taiwan,1560302900,1560302900,-73.7899,40.3447,1379.22,false,115.75,269.49,-4.88,,,1424.94,7415,false
89902d,TTW321  ,Taiwan,1560302899,1560302900,118.0162,22.275,9753.6,false,238.84,276.8,0,,,10469.88,6250,false
a193d3,N200UP  ,United States,1560302731,1560302742,-96.0785,32.3316,335.28,false,55.4,79.84,0.98,,,350.52,,false
706202,JZR402  ,Kuwait,1560302899,1560302899,53.5607,25.4502,10972.8,false,244.97,319.86,0,,,11719.56,4731,false
899049,UIA8802 ,Taiwan,1560302899,1560302899,120.6744,24.5144,5143.5,false,181.56,46.26,-4.55,,,5433.06,2152,false
a4dad4,UAL748  ,United States,1560302900,1560302900,-90.6974,38.7972,10972.8,false,201.47,261.19,0,,,11231.88,7526,false
c05f88,GGN7409 ,Canada,1560302900,1560302900,-79.8211,43.3063,3627.12,false,157.87,195.3,10.08,,,3703.32,0511,false
a887e0,NKS878  ,United States,1560302899,1560302899,-77.8598,35.3635,10675.62,false,242.32,0.73,-0.33,,,11231.88,1553,false
a80d40,JBU1677 ,United States,1560302899,1560302899,-78.8824,37.0394,10972.8,false,206.04,209.96,-0.33,,,11475.72,7125,false
899046,,Taiwan,1560302792,1560302792,134.461,33.9604,3368.04,false,151.08,16.21,-5.53,,,3703.32,2662,false
040142,ETH610  ,Ethiopia,1560302899,1560302900,72.4108,18.8945,4968.24,false,158.24,86.46,-7.8,,,5120.64,3306,false
ad1284,SKW5811 ,United States,1560302899,1560302900,-122.7502,41.551,7399.02,false,171.11,183.45,5.53,,,7787.64,3517,false
040143,ETH714  ,Ethiopia,1560302900,1560302900,23.6633,41.9573,12184.38,false,251.96,351.19,-0.33,,,12588.24,1731,false
7c79d9,YCR     ,Australia,1560302900,1560302900,149.8353,-30.3612,1638.3,false,71.49,147.34,-4.55,,,1775.46,1200,false
7c79d8,CHCK10  ,Australia,1560302899,1560302900,150.6782,-31.0446,1211.58,false,56.81,102.02,-4.55,,,1356.36,1435,false
a66a51,R72     ,United States,,1560302691,,,,false,12.35,210,,,,,,false
7c79d7,HARR83  ,Australia,1560302900,1560302900,150.7732,-31.0616,685.8,false,55.58,277.98,2.28,,,815.34,,false
